,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
40,Russian Federation,9 017.1,8 067.0,7 693.3,6 797.8,5 402.3,4 312.9,3 424.6,2 710.7,2 112.8,2 634.4,2 221.5,1 725.4,(B) 1 693.5,1 635.9,1 864.8,2 845.4,(B) 3 101.6,2 618.3,2 561.0,2 548.7,2 775.5
41,"Serbia, Republic of",520.8,292.0,246.6,191.9,192.3,225.5,219.8,179.5,139.5,125.5,154.6,137.9,141.8,143.2,150.0,188.7,215.2,214.4,211.7,237.3,217.9
42,Slovak Republic,1 301.1,1 202.4,1 044.1,809.8,671.1,666.7,577.8,(B) 489.3,408.3,395.4,406.0,382.2,402.8,399.5,405.0,482.5,514.1,469.2,427.0,412.0,379.6
43,Slovenia,236.3,228.2,213.8,177.8,157.4,154.8,143.2,128.5,110.3,97.8,118.4,114.9,114.2,117.5,123.4,144.8,145.1,153.1,136.8,140.3,132.4
44,Spain,281.4,288.5,(B) 288.7,234.0,225.5,220.2,208.3,(B) 189.3,161.0,152.8,159.5,152.0,164.2,155.4,156.8,192.6,192.7,191.5,182.6,194.1,..
45,Sweden,(B) 211.7,221.6,(B) 209.2,169.8,150.0,153.6,146.9,129.8,126.1,(B) 127.0,120.5,104.2,(B) 114.1,107.5,108.7,123.1,(B) 124.3,117.7,(B) 119.4,122.1,121.6
46,Switzerland,89.2,89.4,82.3,71.2,66.9,65.8,65.4,59.0,52.1,49.5,46.8,40.4,41.0,41.1,41.0,(B) 42.4,42.4,41.3,40.2,39.6,..
47,Turkey,818.8,1 003.7,856.7,568.9,436.8,359.9,346.7,(B) 300.8,297.3,357.1,310.7,309.3,301.2,273.5,280.8,355.9,365.3,381.5,411.6,442.4,475.8
48,Ukraine,6 968.0,5 835.3,5 512.0,5 417.7,4 396.7,3 155.8,2 675.9,2 235.3,1 743.0,(B) 2 360.3,2 165.5,1 947.1,1 749.5,1 613.1,(B) 2 084.4,2 864.4,2 752.0,2 370.9,2 061.5,1 678.0,1 622.6
49,United Kingdom,110.7,111.7,103.3,90.9,80.6,78.6,73.9,66.2,66.1,70.6,73.7,(B) 68.1,68.1,..,..,..,..,..,..,..,..
50,United States,634.4,627.3,631.3,604.8,585.1,548.7,523.1,497.3,447.5,451.6,429.2,403.5,(B) 394.7,395.8,(B) 388.7,366.6,349.4,(E) 340.8,..,..,..
